pred_prob,f_1
0.295,825.781218
0.227,388.3287431
0.242,-179.5554067
0.255,-710.9158937
0.248,779.2954872
0.211,-343.8867202
0.296,652.368818
0.211,-318.0010505
0.216,-318.931413
0.299,-767.9838387
0.263,-325.644979
0.237,256.19089
0.24,-718.0919912
0.215,-107.2010843
0.203,339.6216796
0.27,-786.8781267
0.237,650.6299009
0.312,-629.3887289
0.334,794.8467957
0.318,-786.0353578
0.322,-672.4064928
0.348,-596.4011375
0.383,264.9391147
0.35,469.4866598
0.36,-999.8585822
0.365,-471.7593856
0.317,-642.7249696
0.356,-64.86481183
0.373,-331.3629235
0.363,-574.8479351
0.308,-423.7209994
0.344,755.3263597
0.363,738.2748898
0.342,-911.992139
0.325,-60.34266186
0.35,506.9068478
0.351,-567.8908534
0.316,-251.3758214
0.388,-756.5564755
0.384,-518.3801839
0.337,-16.49015992
0.307,129.0832727
0.32,-1030.501549
0.314,-892.6412765
0.371,-418.5235888
0.36,734.2721051
0.352,-590.8395523
0.364,-465.4219503
0.381,-905.9267332
0.35,10.75666083
0.398,-167.8713516
0.36,591.8714181
0.339,-379.0342674
0.38,-880.3335095
0.393,226.2745564
0.318,709.7874567
0.305,-562.4989771
0.328,617.4987269
0.335,-599.3811802
0.464,409.425905
0.406,930.1629842
0.428,-248.5713128
0.483,259.4891214
0.489,-239.635334
0.455,-146.071646
0.493,-670.2787189
0.404,-676.5008377
0.445,-355.9525743
0.474,-921.6634192
0.496,838.4572332
0.48,567.3036413
0.487,342.3607488
0.455,-399.7167857
0.452,-715.8237705
0.404,-821.4849799
0.418,-792.3734591
0.489,-156.2473997
0.457,70.58527989
0.477,777.0751823
0.451,161.0855938
0.459,641.7483658
0.481,-604.4000279
0.47,52.91828395
0.41,234.1046009
0.432,-66.89059495
0.461,-629.2252245
0.471,652.6294248
0.413,-61.70280789
0.443,738.6764397
0.412,691.6185346
0.5,-563.4655612
0.523,-257.782524
0.582,-523.6879489
0.531,549.8686688
0.544,212.7527691
0.525,1024.589326
0.524,-1006.130608
0.521,963.7452676
0.568,535.6763771
0.541,-449.8634072
0.571,-764.6918407
0.518,-830.1953003
0.527,-739.7428466
0.572,788.2554409
0.533,-688.8022062
0.579,-55.01859724
0.551,-118.6329494
0.535,-658.349389
0.561,-278.4670267
0.504,856.9473202
0.514,-611.639731
0.589,521.4507025
0.535,1322.009046
0.546,167.3554615
0.56,495.7137936
0.594,-873.3604917
0.531,772.5692188
0.571,-141.387913
0.54,-529.2935393
0.519,-559.4029229
0.57,531.0309694
0.574,154.3318803
0.552,-440.5621171
0.59,1370.736993
0.599,610.3819426
0.673,-450.2899966
0.635,-794.2631602
0.616,39.8754293
0.602,545.2990928
0.617,2.142389082
0.636,-603.3362455
0.691,-161.1446042
0.617,1438.128901
0.662,-11.11776
0.675,-835.461858
0.648,-957.696058
0.615,163.7124874
0.61,1022.623733
0.672,1301.987235
0.63,-282.808005
0.611,204.1478805
0.644,246.2355622
0.628,625.5224255
0.675,-731.4141359
0.634,575.9110115
0.628,-764.045488
0.639,917.8842914
0.67,-750.7152927
0.658,-421.2970567
0.696,931.4461541
0.664,644.7825578
0.613,-21.93730388
0.666,576.5257741
0.662,-778.8494324
0.678,-556.425911
0.667,-236.5728955
0.699,-879.8975895
0.613,-247.7173264
0.637,-29.70570792
0.683,-727.6589482
0.667,-584.7516096
0.692,-676.1935823
0.627,-292.2954396
0.7,-77.59788295
0.638,-858.3189743
0.653,953.6693495
0.659,-614.8584414
0.626,700.6512838
0.639,-91.75514097
0.674,-976.8419754
0.671,220.8715545
0.748,1088.269148
0.719,1052.365432
0.793,276.889827
0.71,264.7376329
0.712,142.7012712
0.789,352.2276433
0.734,137.3366479
0.769,-483.8945361
0.743,-823.4300595
0.734,-957.5610264
0.763,-645.2884088
0.784,-561.8875017
0.786,-890.0784153
0.786,-702.275102
0.713,-475.9674883
0.718,397.1895936
0.753,-680.3316454
0.759,165.5504288
0.717,-407.9738509
0.714,-772.736389
0.758,-1.61309247
0.796,459.3553716
0.782,-777.4616407
0.76,655.4935803
0.764,-344.7459739
0.746,142.2026307
0.723,-587.4015061
0.743,712.2315698
0.744,271.154326
0.703,-844.039205
0.709,1088.190162
0.788,-919.4650541
0.784,-450.607094
0.712,-362.0792033
0.724,-664.3271513
0.797,-446.2804306
0.773,-948.2793417
0.717,735.1848532
0.786,-687.6784696
0.743,218.0268071
0.786,1581.955556
0.742,954.0048003
0.743,-736.6081056
0.797,-692.1866076
0.886,777.3984074
0.854,-748.315471
0.804,725.5501225
0.819,42.98311019
0.886,-236.2334353
0.892,-1063.128225
0.891,-75.34038472
0.877,564.5557385
0.831,-187.1094378
0.842,978.8157694
0.87,442.0734779
0.808,-171.4503804
0.866,-621.1595346
0.833,83.66206534
0.858,-158.0706684
0.884,-345.1364514
0.884,1331.96334
0.89,285.4215485
0.811,-247.7245478
0.883,-496.436056
0.879,277.0968411
0.884,763.5080904
0.863,184.0012525
0.832,-840.5391183
0.802,-397.9622875
0.894,133.8844673
0.83,310.4954476
0.892,-273.9890443
0.857,64.43251335
0.878,-205.5963262
0.869,355.2019032
0.806,-641.2828363
0.812,898.2119986
0.886,136.9738379
0.881,-922.2718335
0.889,-859.9093647
0.805,104.3763197
0.811,157.6908869
0.831,194.9833033
0.898,369.7186789
0.84,-525.303538
0.894,-479.474726
0.849,-754.3926366
0.859,-399.1865179
0.859,-396.1611406
0.861,-518.6655915
0.824,-668.6678221
0.855,-691.2468633
0.846,-941.5995524
0.892,-598.961254
0.996,311.5633576
0.987,-391.4770453
0.999,-193.6705014
0.999,840.2034954
0.935,-882.0836206
0.997,816.5659389
0.958,-122.1425231
0.999,-812.0512541
0.996,-1018.34456
0.919,-769.0294497
1,1283.47591
0.999,743.8168819
1,293.9049687
1,291.645043
0.981,-509.177302
0.955,378.1564351
1,935.2867838
0.999,133.2429496
0.964,620.2346798
0.999,-137.1748397
0.997,674.4215146
0.998,1277.640795
0.997,298.9774621
0.984,682.6606699
1,581.1410189
0.935,144.8742445
0.928,310.9666103
0.973,1291.758435
0.999,-394.8900439
0.996,991.9093096
0.997,695.0807176
1,479.522846
0.992,1038.424649
0.931,-239.8413508
0.968,442.0116218
0.997,452.5032601
0.993,-657.8437056
0.995,25.59317081
0.998,1031.187175
0.992,-305.2438266
1,684.2643463
0.98,528.9469083
0.953,-288.2747821
1,888.8950936
0.999,1533.3157
0.989,-229.8203957
0.976,94.9143565
0.996,-317.3140004
0.99,-402.5858988
0.995,460.8325794
