,pred_prob,circum,num_size,closed_loop,average_distance,variance_distance,k,b,right_1,left_1,longest_line_length,is_nine
39,0,66,0.144,FALSE,5.453,6.528,-0.211,20.263,26,87,19.416,FALSE
40,0.001,60,0.096,FALSE,5.984,9.067,-4.5,90.5,15,60,18.439,FALSE
41,0.001,81,0.126,FALSE,6.369,6.26,-0.375,16.25,68,31,17.088,FALSE
42,0.006,42,0.108,FALSE,5.294,7.905,0.316,10.737,49,36,19.925,FALSE
43,0,74,0.101,TRUE,6.475,8.167,-0.417,21.333,36,43,13,FALSE
44,0,67,0.209,FALSE,5.835,6.274,-0.316,21.895,44,120,19.925,FALSE
45,0,76,0.134,FALSE,6.156,5.708,-0.056,19.333,16,89,18.028,FALSE
46,0,64,0.117,TRUE,5.699,5.539,-0.529,19.588,58,34,19.235,FALSE
47,0,85,0.139,FALSE,6.402,7.939,-2.667,41,87,22,17.088,FALSE
48,0.004,78,0.101,FALSE,7.169,5.534,6.5,-64.5,50,29,13.153,FALSE
49,0,104,0.207,TRUE,7.17,7.861,-5.333,121,39,123,16.279,FALSE
50,0.192,84,0.117,TRUE,6.343,8.173,0.812,2.125,37,55,20.616,FALSE
51,0.175,89,0.163,FALSE,6.936,7.085,1,1,87,41,18.385,TRUE
52,0.165,53,0.119,FALSE,5.644,8.063,0,12,33,60,19,FALSE
53,0.158,85,0.153,TRUE,6.141,8.27,-0.167,16.833,68,52,18.248,FALSE
54,0.168,87,0.241,FALSE,6.651,6.679,0.733,4.6,117,72,18.601,FALSE
55,0.118,83,0.216,FALSE,6.088,6.286,19,-168,142,27,19.026,TRUE
56,0.178,83,0.177,TRUE,7.133,3.442,0.375,13.5,102,37,17.088,FALSE
57,0.118,89,0.162,TRUE,6.724,6.706,1.273,-1.909,86,41,17.804,FALSE
58,0.135,67,0.116,FALSE,5.172,5.855,-0.917,25.5,49,42,16.279,FALSE
59,0.151,92,0.196,TRUE,6.601,5.17,6,-57,95,59,18.248,FALSE
60,0.116,65,0.128,FALSE,6.133,8.569,-0.667,24.667,43,57,21.633,FALSE
61,0.12,83,0.158,FALSE,6.077,6.843,-0.222,17.111,68,56,18.439,FALSE
62,0.105,78,0.145,TRUE,6.119,6.822,-0.412,22.294,45,69,18.385,FALSE
63,0.125,76,0.101,TRUE,5.921,6.95,-0.417,20.5,36,43,13,FALSE
64,0.178,74,0.142,FALSE,6.784,7.12,-0.556,22.333,54,57,20.591,FALSE
65,0.157,91,0.2,TRUE,6.274,6.16,-0.611,19.444,118,39,21.095,FALSE
66,0.161,77,0.188,FALSE,6.87,7.065,0.8,6,111,36,19.209,TRUE
67,0.115,86,0.156,TRUE,6.23,7.709,-0.312,19.875,48,74,16.763,FALSE
68,0.1,79,0.162,FALSE,6.611,7.814,0.8,2.2,68,59,19.209,FALSE
69,0.193,81,0.159,FALSE,6.821,8.865,1.231,0.846,95,30,20.616,TRUE
70,0.115,76,0.126,TRUE,6.589,6.721,-0.833,23.333,50,49,15.62,FALSE
71,0.135,99,0.157,TRUE,7.148,6.614,-1.5,33,76,47,18.028,FALSE
72,0.183,82,0.134,TRUE,6.287,9.837,-1.727,36.818,64,41,21.954,FALSE
73,0.177,89,0.168,FALSE,7.485,7.969,0.167,13.167,69,63,18.248,FALSE
74,0.13,62,0.101,FALSE,6.081,7.674,0.455,8.364,49,30,12.083,FALSE
75,0.182,62,0.151,FALSE,6.125,6.403,-0.222,18.111,56,62,18.439,FALSE
76,0.145,64,0.099,FALSE,5.511,7.128,-0.833,29.833,24,54,15.62,FALSE
77,0.136,54,0.098,FALSE,5.418,7.968,-0.188,18.688,29,48,16.279,TRUE
78,0.149,64,0.166,FALSE,6.106,9.077,-0.684,24.105,59,71,23.022,FALSE
79,0.101,97,0.214,TRUE,6.506,7.876,-1.154,30.231,74,94,19.849,FALSE
80,0.132,72,0.12,FALSE,6.936,8.59,-4,94,0,94,12.369,FALSE
81,0.185,58,0.102,FALSE,7.073,11.457,-0.833,26,46,34,23.431,FALSE
82,0.122,59,0.18,FALSE,6.204,7.426,-0.158,16.947,61,80,19.235,FALSE
83,0.156,99,0.168,TRUE,6.533,6.939,-0.733,24.4,54,78,18.601,FALSE
84,0.154,101,0.188,TRUE,6.704,8.531,-0.842,26.211,71,76,24.839,FALSE
85,0.111,69,0.134,FALSE,7.033,8.014,-0.684,24.421,42,63,23.022,FALSE
86,0.105,75,0.138,FALSE,7.333,7.036,-0.812,27.5,51,57,20.616,FALSE
87,0.106,71,0.119,FALSE,6.932,7.087,-0.556,22.333,47,46,20.591,FALSE
88,0.195,82,0.159,FALSE,6.841,6.042,-0.263,20.053,47,78,19.647,FALSE
89,0.118,64,0.102,FALSE,6.211,4.922,-0.5,24.5,31,49,11.18,FALSE
90,0.118,57,0.101,FALSE,6.027,8.199,-0.353,20.118,32,47,18.028,FALSE
91,0.13,73,0.138,TRUE,5.687,6.636,-0.857,26.143,50,58,18.439,FALSE
92,0.123,77,0.131,FALSE,6.727,7.125,-0.235,20.941,35,68,17.464,TRUE
93,0.198,88,0.149,FALSE,6.353,6.213,-8,164,18,99,16.125,TRUE
94,0.195,71,0.097,TRUE,6.34,10.897,1.167,0,59,17,18.439,FALSE
95,0.148,54,0.11,FALSE,5.188,7.092,-0.316,20.579,24,62,19.925,FALSE
96,0.162,65,0.151,TRUE,5.88,5.599,0.105,14.474,74,44,19.105,FALSE
97,0.194,60,0.168,FALSE,6.015,5.964,-0.5,21.5,68,64,20.125,TRUE
98,0.193,53,0.077,FALSE,6.154,7.314,-0.105,16.421,27,33,19.105,FALSE
99,0.156,58,0.136,FALSE,6.126,5.63,0.467,9.667,70,37,16.553,FALSE
100,0.204,77,0.24,FALSE,6.763,6.459,0.929,0.5,96,92,19.105,FALSE
101,0.215,62,0.112,FALSE,5.952,8.205,-0.769,24.154,47,41,16.401,FALSE
102,0.241,60,0.136,FALSE,5.896,6.936,-0.556,22.333,52,55,20.591,FALSE
103,0.288,48,0.101,FALSE,5.377,7.048,0.167,12.167,43,36,18.248,TRUE
104,0.207,71,0.12,TRUE,5.514,5.979,0.158,15.368,76,18,19.235,FALSE
105,0.213,68,0.115,TRUE,5.987,5.6,-0.278,19.667,36,54,18.682,FALSE
106,0.206,97,0.165,FALSE,6.843,6.881,-3.5,90,1,128,14.56,FALSE
107,0.245,59,0.117,FALSE,6.273,5.481,0.909,3.545,65,27,14.866,TRUE
108,0.218,83,0.166,TRUE,5.931,5.885,0.222,11.111,73,57,18.439,FALSE
109,0.247,107,0.154,TRUE,7.424,7.109,-0.818,31.818,24,97,14.213,FALSE
110,0.291,77,0.133,FALSE,7.807,5.034,0.857,6.571,77,27,18.439,TRUE
111,0.242,89,0.152,FALSE,7.298,7.5,15,-323,0,119,15.033,FALSE
112,0.247,53,0.153,FALSE,5.773,7.656,0.053,15.684,79,41,19.026,FALSE
113,0.244,42,0.055,TRUE,5.893,6.163,-0.583,24.417,20,23,13.892,FALSE
114,0.248,80,0.158,TRUE,6.397,7.935,0,17,80,44,19,FALSE
115,0.295,74,0.166,FALSE,6.65,6.203,1.091,-0.636,83,47,16.279,TRUE
116,0.241,91,0.165,TRUE,6.514,5.073,-0.118,10.588,96,33,17.117,FALSE
117,0.244,64,0.125,FALSE,6.693,11.612,-0.25,17.5,50,48,16.492,FALSE
118,0.241,93,0.186,TRUE,6.551,8.817,1.071,-0.429,82,64,20.518,FALSE
119,0.22,77,0.188,FALSE,6.745,3.841,0.6,9,104,43,17.493,FALSE
120,0.293,92,0.189,TRUE,6.459,7.583,-0.294,18.059,70,78,17.72,FALSE
121,0.205,89,0.208,FALSE,6.632,7.209,0.235,15.588,114,49,17.464,FALSE
122,0.287,75,0.202,FALSE,6.547,7.603,1,0,89,69,19.799,TRUE
123,0.284,83,0.209,FALSE,6.219,6.783,0,18,123,41,18,TRUE
124,0.228,86,0.19,FALSE,6.585,7.124,0.188,15.438,100,49,16.279,FALSE
125,0.242,90,0.147,TRUE,6.195,7.091,-1.333,28,92,23,20,FALSE
126,0.243,67,0.134,FALSE,5.747,6.123,-0.471,23.765,25,80,18.788,TRUE
127,0.225,77,0.134,FALSE,6.016,8.258,-1.462,34.692,57,48,23.022,TRUE
128,0.219,58,0.159,FALSE,6.107,6.544,-0.917,22.75,91,34,16.279,FALSE
129,0.265,64,0.111,TRUE,6.091,5.814,0.211,11.947,52,35,19.416,FALSE
130,0.295,44,0.135,FALSE,6.065,10.244,0.833,1.833,55,51,23.431,FALSE
131,0.236,65,0.145,FALSE,6.663,6.328,0.5,11,77,37,15.652,FALSE
132,0.22,61,0.098,TRUE,5,6.974,-0.25,15.75,54,23,16.492,FALSE
133,0.215,89,0.162,FALSE,6.665,7.01,-1,26,83,44,21.213,TRUE
134,0.268,86,0.177,FALSE,6.881,8.346,-0.529,18.647,89,50,19.235,FALSE
135,0.205,62,0.11,FALSE,6.639,6.828,0,15,45,41,17,FALSE
136,0.231,78,0.115,FALSE,6.581,9.363,1.857,-13.286,32,58,14.765,TRUE
137,0.21,72,0.14,TRUE,5.97,7.294,-0.368,18.842,57,53,20.248,FALSE
138,0.255,78,0.111,FALSE,6.067,7.095,-0.353,15.412,57,30,18.028,FALSE
139,0.203,67,0.111,TRUE,5.913,8.46,-0.529,20.647,49,38,19.235,FALSE
140,0.204,80,0.172,TRUE,6.422,7.333,-1.133,30.933,60,75,22.672,FALSE
141,0.209,89,0.239,TRUE,6.811,8.712,-1.267,30.6,97,90,24.207,FALSE
142,0.243,73,0.111,TRUE,5.728,8.326,-0.5,21.5,40,47,20.125,FALSE
143,0.235,89,0.204,FALSE,7.158,5.72,3.167,-18.167,126,34,19.925,TRUE
144,0.214,66,0.108,FALSE,6.14,7.452,0.467,6.733,34,51,16.553,TRUE
145,0.226,69,0.218,TRUE,6.175,7.197,-0.684,23.737,76,95,23.022,TRUE
146,0.267,67,0.204,TRUE,5.998,6.021,-0.765,23.059,89,71,21.401,TRUE
147,0.224,105,0.209,TRUE,7.077,6.48,0.438,8.375,85,79,17.464,FALSE
148,0.251,78,0.219,TRUE,6.525,8.577,-0.895,25.684,84,88,25.495,FALSE
149,0.292,63,0.128,FALSE,6.371,7.055,-0.158,16.632,53,47,19.235,FALSE
150,0.373,97,0.233,FALSE,7.021,7.209,1.214,-0.071,122,61,22.023,TRUE
151,0.369,57,0.124,FALSE,6.067,6.826,0.733,2.133,35,62,18.601,TRUE
152,0.314,77,0.158,FALSE,6.8,7.457,0.733,3.867,58,66,18.601,FALSE
153,0.309,60,0.077,TRUE,6.76,6.806,0.467,10.2,44,16,16.553,FALSE
154,0.348,84,0.136,TRUE,6.064,7.399,-0.222,15.889,63,44,18.439,FALSE
155,0.345,81,0.136,TRUE,6.301,9.006,0.667,2.667,39,68,21.633,FALSE
156,0.324,94,0.134,TRUE,6.582,8.723,-0.833,25.833,53,52,15.62,FALSE
157,0.357,63,0.119,FALSE,6.287,7.841,0.857,2.857,66,27,18.439,TRUE
158,0.367,65,0.11,FALSE,6.9,5.905,-0.118,17.706,41,45,17.117,TRUE
159,0.372,99,0.135,TRUE,6.762,7.148,-0.067,19.467,32,74,15.033,FALSE
160,0.365,55,0.107,FALSE,5.543,6.097,-0.818,23.727,51,33,14.213,TRUE
161,0.372,77,0.156,FALSE,6.898,4.71,0.818,7.727,86,36,14.213,FALSE
162,0.397,70,0.224,FALSE,6.646,6.241,0.812,3.938,117,59,20.616,FALSE
163,0.34,88,0.259,FALSE,6.693,7.24,-0.778,23.111,107,96,22.804,TRUE
164,0.343,72,0.143,FALSE,6.272,6.867,-0.643,25.5,34,78,16.643,TRUE
165,0.333,84,0.23,FALSE,6.19,6.176,-1.8,40,89,91,20.591,TRUE
166,0.392,95,0.223,FALSE,6.965,8.081,-0.316,22.895,58,117,19.925,TRUE
167,0.322,66,0.107,TRUE,5.556,6.366,-0.625,21.5,56,28,18.868,FALSE
168,0.395,79,0.129,FALSE,6.635,9.743,-1.357,33.857,52,49,23.601,TRUE
169,0.361,71,0.133,FALSE,6.004,5.949,0.125,15.625,66,38,16.125,FALSE
170,0.303,98,0.171,FALSE,7.674,5.635,1.077,2.615,98,36,19.105,FALSE
171,0.371,107,0.189,FALSE,7.74,6.7,3.167,-30.833,73,75,19.925,FALSE
172,0.335,103,0.256,FALSE,7.678,5.419,-1.2,27,127,74,23.431,TRUE
173,0.318,85,0.177,TRUE,6.574,6.67,0.875,2.625,91,48,21.26,FALSE
174,0.381,66,0.166,TRUE,5.948,6.177,-0.444,22.111,56,74,19.698,FALSE
175,0.306,85,0.151,FALSE,6.725,6.465,1.5,-10.5,40,78,14.422,TRUE
176,0.352,88,0.166,FALSE,7.285,7.642,-0.333,22,48,82,18.974,TRUE
177,0.391,98,0.168,TRUE,6.895,6.833,0.75,5.5,83,49,20,FALSE
178,0.333,50,0.068,FALSE,5.514,7.586,0.3,6.8,19,34,10.44,TRUE
179,0.348,47,0.111,FALSE,4.853,6.503,-0.158,18.789,28,59,19.235,FALSE
180,0.336,90,0.213,TRUE,7.363,4.105,-1.364,38.727,43,124,18.601,FALSE
181,0.335,49,0.089,FALSE,5.348,7.195,-0.2,18.8,27,43,15.297,TRUE
182,0.367,77,0.116,FALSE,6.847,6.333,1.222,0.667,67,24,14.213,TRUE
183,0.384,95,0.161,FALSE,7.73,4.878,1.6,-1.6,95,31,18.868,TRUE
184,0.382,77,0.124,FALSE,6.839,6.845,1.077,1.538,71,26,19.105,TRUE
185,0.393,81,0.161,TRUE,6.634,7.441,-0.824,24.118,73,53,22.023,FALSE
186,0.308,80,0.136,TRUE,6.201,8.804,-1.214,34.143,27,80,22.023,FALSE
187,0.398,89,0.148,TRUE,6.465,8.715,1,-4,29,87,21.213,FALSE
188,0.318,85,0.179,TRUE,7.198,7.481,0.611,7.944,102,38,21.095,FALSE
189,0.362,48,0.078,FALSE,5.575,5.54,-0.067,16.333,25,36,15.033,FALSE
190,0.388,59,0.172,FALSE,5.539,7.019,-0.611,20.056,92,43,21.095,TRUE
191,0.354,47,0.14,FALSE,5.234,7.083,2.111,-15,55,55,21.024,FALSE
192,0.38,59,0.077,FALSE,6.89,6.984,1.143,-0.286,41,19,10.63,FALSE
193,0.372,44,0.062,FALSE,6.83,6.605,-0.125,16.75,27,22,8.062,TRUE
194,0.323,67,0.139,FALSE,5.867,7.221,-0.059,16.353,53,56,17.029,TRUE
195,0.303,67,0.204,FALSE,6.172,6.483,-0.235,20.412,58,102,17.464,FALSE
196,0.307,69,0.142,FALSE,6.725,7.399,-0.333,20.667,43,68,15.811,TRUE
197,0.329,83,0.204,TRUE,6.703,9.44,1.214,-5.929,40,120,22.023,FALSE
198,0.367,61,0.098,FALSE,7.121,9.034,-2.333,55.333,6,71,15.232,FALSE
199,0.304,81,0.195,FALSE,7.051,5.312,2.429,-12,116,37,18.385,TRUE
200,0.429,51,0.069,FALSE,6.008,11.21,0.778,3.667,30,24,11.402,TRUE
201,0.486,53,0.129,FALSE,5.771,6.446,0.125,12.375,50,51,16.125,FALSE
202,0.438,79,0.173,FALSE,6.617,8.5,-0.722,25.056,62,74,22.204,TRUE
203,0.434,80,0.149,TRUE,6.154,5.718,-0.263,16.053,73,44,19.647,FALSE
204,0.449,71,0.134,FALSE,6.529,6.839,0.769,3.615,60,45,16.401,TRUE
205,0.439,48,0.078,FALSE,5.273,7.517,0,15,34,27,18,FALSE
206,0.446,72,0.222,TRUE,5.915,5.828,-0.263,17.316,92,82,19.647,TRUE
207,0.447,76,0.129,FALSE,6.75,5.12,0.056,16.778,60,41,18.028,TRUE
208,0.499,61,0.102,FALSE,6.712,6.53,-3.25,74.25,6,74,13.601,TRUE
209,0.455,74,0.125,FALSE,6.735,7.175,0.846,3.923,67,31,17.029,TRUE
210,0.437,69,0.194,TRUE,5.936,6,-0.529,22.176,69,83,19.235,FALSE
211,0.415,50,0.084,FALSE,5.155,8.148,-1.154,27.923,55,11,19.849,FALSE
212,0.401,79,0.176,FALSE,6.358,9.83,-0.706,20.529,93,45,20.809,FALSE
213,0.449,106,0.203,TRUE,6.946,6.825,-1.231,28.385,87,72,20.616,FALSE
214,0.476,83,0.23,FALSE,6.707,5.74,0.588,7.059,117,63,19.723,FALSE
215,0.403,68,0.119,FALSE,6.488,5.54,0.667,7.667,61,32,14.422,FALSE
216,0.469,86,0.194,TRUE,6.322,6.32,-0.824,24.118,94,58,22.023,FALSE
217,0.429,58,0.099,FALSE,5.251,5.959,0.692,5.846,50,28,15.811,FALSE
218,0.437,89,0.177,TRUE,6.819,8.815,-0.474,23.421,43,96,21.024,TRUE
219,0.441,81,0.204,FALSE,6.536,5.367,-0.706,21.529,105,55,20.809,FALSE
220,0.413,75,0.18,FALSE,6.755,4.277,0.5,11,100,41,17.889,TRUE
221,0.435,69,0.145,FALSE,6.362,6.21,0.333,12.333,76,38,18.974,TRUE
222,0.465,81,0.175,FALSE,7.06,5.714,0.412,13.353,102,35,18.385,TRUE
223,0.426,87,0.221,FALSE,6.553,6.498,0.056,17.722,115,58,18.028,FALSE
224,0.488,67,0.117,FALSE,6.583,5.377,0.8,7.2,62,30,12.806,FALSE
225,0.492,86,0.231,FALSE,7.061,8.535,-0.333,19,95,86,18.974,TRUE
226,0.489,69,0.101,FALSE,7.034,6.176,-0.562,23.375,33,46,18.358,FALSE
227,0.4,91,0.198,TRUE,6.712,8.45,-0.526,21.579,77,78,21.471,FALSE
228,0.48,102,0.19,TRUE,6.814,6.036,-0.867,24.2,87,62,19.849,FALSE
229,0.413,94,0.186,FALSE,7.285,7.464,-3.6,86.8,17,129,18.682,FALSE
230,0.488,79,0.135,FALSE,6.406,8.514,-1,29,53,53,18.385,TRUE
231,0.496,75,0.117,FALSE,7.742,6.001,-8.5,182.5,11,81,17.117,FALSE
232,0.46,43,0.096,FALSE,5.588,10.182,-0.5,22,31,44,13.416,FALSE
233,0.456,73,0.156,TRUE,6.044,6.666,-0.824,24.294,73,49,22.023,FALSE
234,0.401,95,0.184,TRUE,6.773,8.469,1,2,92,52,19.799,FALSE
235,0.431,59,0.098,FALSE,5.508,7.734,0.211,12.947,46,31,19.416,TRUE
236,0.452,71,0.148,FALSE,6.356,7.432,-1.727,35.818,69,47,21.954,FALSE
237,0.409,47,0.145,FALSE,5.215,6.705,-0.158,15.632,62,52,19.235,TRUE
238,0.494,128,0.198,FALSE,7.42,7.243,-1.333,27.333,112,43,20,TRUE
239,0.401,83,0.149,FALSE,7.492,6.828,1.545,-2.727,93,24,20.248,TRUE
240,0.442,97,0.179,TRUE,6.797,8.276,-1.167,33.667,35,105,18.439,FALSE
241,0.463,87,0.196,TRUE,6.513,6.927,-0.933,28.467,67,87,20.518,FALSE
242,0.418,69,0.108,FALSE,5.945,6.956,-1.375,28.25,68,17,13.601,FALSE
243,0.406,52,0.096,FALSE,5.595,7.848,-0.562,23.062,28,47,18.358,TRUE
244,0.424,49,0.099,FALSE,5.843,6.581,0.333,10.333,47,31,15.811,TRUE
245,0.489,72,0.134,FALSE,7.521,8.597,0,16,56,49,15,FALSE
246,0.484,105,0.202,TRUE,7.237,7.911,-0.875,26.25,84,74,21.26,TRUE
247,0.444,64,0.167,FALSE,5.517,6.553,-0.389,17.556,80,51,19.313,TRUE
248,0.435,58,0.08,TRUE,5.668,8.296,-0.071,16.357,23,40,14.036,FALSE
249,0.418,72,0.205,FALSE,6.02,6.847,-1.583,34.083,111,50,22.472,TRUE
250,0.525,77,0.204,TRUE,6.26,7.059,-0.812,22.25,114,46,20.616,FALSE
251,0.545,69,0.105,FALSE,5.689,8.43,-0.188,18.5,27,55,16.279,TRUE
252,0.591,63,0.126,FALSE,5.559,6.336,1.857,-13.429,46,53,14.765,TRUE
253,0.545,62,0.094,FALSE,7.124,7.184,1.143,0.429,54,20,21.26,FALSE
254,0.526,61,0.111,FALSE,6.214,7.724,0.333,11.333,59,28,15.811,TRUE
255,0.58,74,0.133,FALSE,7.134,6.358,1,3,71,33,19.799,TRUE
256,0.531,62,0.138,FALSE,5.835,9.263,-0.684,22.421,61,47,23.022,FALSE
257,0.515,69,0.191,FALSE,6.657,3.704,1.1,3.4,109,41,14.866,FALSE
258,0.567,88,0.134,FALSE,7.626,3.527,0.833,7.833,74,31,15.62,TRUE
259,0.519,59,0.111,FALSE,6.498,9.557,-0.647,25.176,40,47,20.248,TRUE
260,0.589,83,0.117,FALSE,6.71,5.988,1.222,2.667,73,19,14.213,FALSE
261,0.559,103,0.228,FALSE,7.02,9.223,-0.947,25.789,105,74,26.173,TRUE
262,0.501,88,0.168,TRUE,7.329,8.832,-0.722,24.333,67,65,22.204,FALSE
263,0.57,84,0.151,FALSE,6.043,6.799,8,-69,91,27,16.125,TRUE
264,0.501,74,0.151,FALSE,6.317,6.429,0.412,10.353,82,36,18.385,FALSE
265,0.588,88,0.172,FALSE,7.161,8.608,-2.167,33.833,122,13,14.318,TRUE
266,0.541,71,0.105,FALSE,6.814,5.26,0.429,10.857,53,29,15.232,TRUE
267,0.591,84,0.227,FALSE,6.282,6.247,-0.611,21.444,102,76,21.095,TRUE
268,0.519,90,0.199,FALSE,7.785,7.576,-8.5,191,6,150,17.117,TRUE
269,0.597,84,0.122,FALSE,6.967,8.559,-0.154,20.231,33,63,13.153,TRUE
270,0.515,93,0.143,FALSE,6.683,7.943,-0.267,22.333,23,89,15.524,TRUE
271,0.5,83,0.172,FALSE,7.077,7.875,1.8,-7.8,86,49,20.591,TRUE
272,0.55,74,0.184,FALSE,6.064,8.417,-0.25,17.75,66,78,16.492,TRUE
273,0.539,59,0.151,FALSE,5.684,8.294,-0.368,20.211,45,73,20.248,TRUE
274,0.501,72,0.122,FALSE,6.176,6.952,0.125,14.375,59,37,16.125,TRUE
275,0.56,87,0.135,TRUE,6.238,8.18,0.118,16.412,77,29,17.117,FALSE
276,0.594,65,0.161,FALSE,6.819,7.777,0.167,12.167,64,62,18.248,FALSE
277,0.502,81,0.171,FALSE,6.763,5.521,-1,24,94,40,18.385,TRUE
278,0.534,78,0.101,FALSE,6.916,11.337,2.2,-23,15,64,12.083,TRUE
279,0.518,77,0.283,TRUE,6.906,7.77,-0.944,23.833,164,58,24.759,TRUE
280,0.553,90,0.149,FALSE,7.213,6.016,2.833,-19.5,76,41,18.028,TRUE
281,0.571,97,0.128,TRUE,6.967,6.615,1.083,1.5,73,27,17.692,FALSE
282,0.557,67,0.13,FALSE,6.617,7.536,-0.533,21.2,44,58,17,FALSE
283,0.529,76,0.139,FALSE,6.15,8.465,0.056,16.611,78,31,18.028,TRUE
284,0.58,54,0.077,FALSE,5.755,10.237,0.176,12.588,32,28,17.263,TRUE
285,0.594,93,0.194,TRUE,6.672,7.834,0.105,15.474,94,58,19.105,FALSE
286,0.577,107,0.202,FALSE,7.602,7.51,3.6,-32,96,62,18.682,TRUE
287,0.538,41,0.059,FALSE,4.89,8.318,0.214,12.143,30,16,14.318,TRUE
288,0.569,90,0.159,FALSE,7.485,7.907,0.833,7.667,98,27,15.62,TRUE
289,0.523,51,0.175,FALSE,5.813,6.114,0,15,84,53,19,TRUE
290,0.527,86,0.126,FALSE,6.166,7.388,2.111,-17.111,49,50,21.024,TRUE
291,0.556,116,0.207,FALSE,7.699,6.14,-6,130,41,121,18.248,TRUE
292,0.52,96,0.198,TRUE,6.488,6.659,0.688,0.5,44,111,19.416,FALSE
293,0.642,69,0.136,FALSE,7.63,4.413,0.429,11.857,69,38,15.232,TRUE
294,0.609,79,0.139,FALSE,6.057,8.351,1,2,74,35,14.142,TRUE
295,0.672,95,0.207,TRUE,6.285,6.672,-0.263,18.053,90,72,19.647,FALSE
296,0.695,66,0.101,FALSE,6.615,6.513,0.438,10.25,49,30,17.464,TRUE
297,0.623,79,0.154,FALSE,6.585,6.312,1.7,-6.9,85,36,19.723,TRUE
298,0.613,72,0.111,FALSE,6.671,5.693,2,-8,65,22,15.652,TRUE
299,0.663,77,0.203,FALSE,6.803,6.917,-0.867,22.467,100,59,19.849,TRUE
300,0.63,85,0.156,FALSE,6.685,10.69,-1,29,62,60,26.87,FALSE
301,0.666,90,0.184,FALSE,6.791,8.474,0.917,5.583,110,34,16.279,TRUE
302,0.636,79,0.144,FALSE,6.12,6.099,0.75,5.75,72,41,15,FALSE
